ht_id,gr_no,formclass_id,dating_from,dating_to,start_date,end_date,centroid
37514,G0280.050,1083,4. Dynastie,4. Dynastie,-2613.0,-2392.0,-2502.5
45807,G0280.050,1083,4. Dynastie,4. Dynastie,-2613.0,-2392.0,-2502.5
45851,G0280.050,1083,4. Dynastie,4. Dynastie,-2613.0,-2392.0,-2502.5
9630,G0280.050,1083,Kakai Neferirkare I.,Kakai Neferirkare I.,-2415.0,-2405.0,-2410.0
9648,G0280.050,1083,Kakai Neferirkare I.,Kakai Neferirkare I.,-2415.0,-2405.0,-2410.0
9649,G0280.050,1083,Kakai Neferirkare I.,Kakai Neferirkare I.,-2415.0,-2405.0,-2410.0
44458,G0280.050,1083,Asosi Djedkare,Asosi Djedkare,-2365.0,-2322.0,-2343.5
44487,G0280.050,1083,Asosi Djedkare,Asosi Djedkare,-2365.0,-2322.0,-2343.5
44488,G0280.050,1083,Asosi Djedkare,Asosi Djedkare,-2365.0,-2322.0,-2343.5
44540,G0280.050,1083,Asosi Djedkare,Asosi Djedkare,-2365.0,-2322.0,-2343.5
37709,G0280.050,1083,Ini Niuserre,Pepi II. Neferkare,-2402.0,-2153.0,-2277.5
37846,G0280.050,1083,Ini Niuserre,Pepi II. Neferkare,-2402.0,-2153.0,-2277.5
37896,G0280.050,1083,Ini Niuserre,Pepi II. Neferkare,-2402.0,-2153.0,-2277.5
39170,G0280.050,1083,Ini Niuserre,Pepi II. Neferkare,-2402.0,-2153.0,-2277.5
39299,G0280.050,1083,Ini Niuserre,Pepi II. Neferkare,-2402.0,-2153.0,-2277.5
39696,G0280.050,1083,Ini Niuserre,Pepi II. Neferkare,-2402.0,-2153.0,-2277.5
39697,G0280.050,1083,Ini Niuserre,Pepi II. Neferkare,-2402.0,-2153.0,-2277.5
39698,G0280.050,1083,Ini Niuserre,Pepi II. Neferkare,-2402.0,-2153.0,-2277.5
39699,G0280.050,1083,Ini Niuserre,Pepi II. Neferkare,-2402.0,-2153.0,-2277.5
39700,G0280.050,1083,Ini Niuserre,Pepi II. Neferkare,-2402.0,-2153.0,-2277.5
